INFO 2025-03-19 14:57:28,983 basehttp 15272 7016 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui.css HTTP/1.1" 200 145206
INFO 2025-03-19 14:57:28,991 basehttp 15272 7016 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-bundle.js HTTP/1.1" 200 1046583
INFO 2025-03-19 14:57:28,995 basehttp 15272 7016 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-standalone-preset.js HTTP/1.1" 200 322863
INFO 2025-03-19 14:57:28,998 basehttp 15272 1060 "GET /static/drf-yasg/insQ.min.js HTTP/1.1" 200 2093
INFO 2025-03-19 14:57:29,017 basehttp 15272 1060 "GET /static/drf-yasg/immutable.min.js HTTP/1.1" 200 56904
INFO 2025-03-19 14:57:29,021 basehttp 15272 7016 "GET /static/drf-yasg/swagger-ui-init.js HTTP/1.1" 200 15480
INFO 2025-03-19 14:57:29,307 basehttp 15272 1060 "GET /static/drf-yasg/swagger-ui-dist/favicon-32x32.png HTTP/1.1" 200 628
INFO 2025-03-19 14:57:29,434 basehttp 15272 7016 "GET /swagger/?format=openapi HTTP/1.1" 200 72851
WARNING 2025-03-19 14:57:59,844 log 15272 7016 Unauthorized: /api/v1/users/login/
WARNING 2025-03-19 14:57:59,844 basehttp 15272 7016 "POST /api/v1/users/login/ HTTP/1.1" 401 39
WARNING 2025-03-19 14:58:24,007 log 15272 7016 Unauthorized: /api/v1/users/login/
WARNING 2025-03-19 14:58:24,007 basehttp 15272 7016 "POST /api/v1/users/login/ HTTP/1.1" 401 39
WARNING 2025-03-19 14:59:00,048 log 15272 7016 Unauthorized: /api/v1/users/login/
WARNING 2025-03-19 14:59:00,049 basehttp 15272 7016 "POST /api/v1/users/login/ HTTP/1.1" 401 39
INFO 2025-03-19 14:59:12,103 basehttp 15272 7016 "POST /api/v1/users/login/ HTTP/1.1" 200 755
INFO 2025-03-19 14:59:57,142 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 14:59:57,149 log 15272 12532 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 14:59:57,150 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:02:53,909 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:02:53,916 log 15272 12532 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:02:53,917 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:06:07,646 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:06:07,656 log 15272 12532 Unauthorized: /api/v1/users/users/me/
